activeingred,reaction,N,E,RR,PRR,EBGM,EBGM_05,EBGM_50,EBGM_95
ipratropium,dyspnoeas,1135,848.02,1.34,4.69,1.34,1.2727,1.3369,1.40321
vonicog alfa,dyspnoeas,34,18.99,1.79,2.35,1.69,1.26595,1.69707,2.21883
phenylephrine,dyspnoeas,65,40.61,1.6,1.55,1.56,1.2653,1.56101,1.89994
bosutinib,dyspnoeas,331,238.32,1.39,1.27,1.38,1.26207,1.38326,1.51196
topotecan,dyspnoeas,323,232.34,1.39,1.77,1.38,1.26165,1.38437,1.51482
lamotrigine chewable disp,dyspnoeas,245,173.85,1.41,1.28,1.4,1.25944,1.40139,1.55363
interferon alfa-2a,dyspnoeas,115,77.1,1.49,1.3,1.47,1.25869,1.4725,1.70935
galsulfase,dyspnoeas,198,138.7,1.43,2.15,1.42,1.25848,1.41749,1.5894
immune globulin,dyspnoeas,3342,2583.59,1.29,1.5,1.29,1.25664,1.29308,1.33022
pegloticase,dyspnoeas,126,85.72,1.47,1.92,1.45,1.25093,1.45301,1.67584
warfarin sodium,dyspnoeas,773,581.34,1.33,1.11,1.33,1.25055,1.32751,1.40756
ketorolac,dyspnoeas,378,276.94,1.36,1.28,1.36,1.24845,1.36019,1.47842
peginterferon alfa-2b,dyspnoeas,258,185.38,1.39,1.16,1.38,1.24766,1.38444,1.53088
zoledronic acid,dyspnoeas,4002,3124.77,1.28,1.66,1.28,1.24735,1.28035,1.31393
lofexidine,dyspnoeas,10,3.55,2.81,2.33,2.17,1.24699,2.18611,3.65399
amlodipine,dyspnoeas,3110,2423.82,1.28,1.2,1.28,1.24515,1.2826,1.3208
alectinib,dyspnoeas,215,153.17,1.4,1.34,1.39,1.24434,1.39475,1.55684
prednisone,dyspnoeas,1204,923.66,1.3,1.13,1.3,1.24144,1.30218,1.36486
losartan,dyspnoeas,1004,766.56,1.31,1.26,1.31,1.24142,1.30813,1.3772
rituximab,dyspnoeas,5723,4532.48,1.26,1.68,1.26,1.23516,1.26241,1.29005
budesonide,dyspnoeas,2764,2169.71,1.27,4.06,1.27,1.23394,1.27335,1.31361
fluticasone,dyspnoeas,5217,4149.21,1.26,2.99,1.26,1.22866,1.25707,1.28591
tezacaftor/ivacaftor,dyspnoeas,138,96.73,1.43,1.51,1.41,1.2242,1.41234,1.61889
pertuzumab,dyspnoeas,368,274.91,1.34,1.64,1.33,1.22295,1.33397,1.45152
lisinopril,dyspnoeas,1663,1306.14,1.27,1.24,1.27,1.22169,1.27231,1.32431
gadolinium,dyspnoeas,47,29.07,1.62,1.69,1.56,1.21893,1.56196,1.96478
luspatercept,dyspnoeas,42,25.49,1.65,1.43,1.58,1.21778,1.58369,2.01749
clopidogrel,dyspnoeas,1903,1508.05,1.26,1.18,1.26,1.21418,1.26113,1.30926
rilonacept,dyspnoeas,19,9.48,2,1.9,1.79,1.21352,1.80325,2.57032
tiotropium,dyspnoeas,11542,9368.23,1.23,4.56,1.23,1.21315,1.23192,1.25088
FSH,dyspnoeas,45,27.79,1.62,1.33,1.56,1.21202,1.56181,1.97403
ribavirin,dyspnoeas,957,747.86,1.28,1.24,1.28,1.21133,1.27806,1.3472
lumacaftor,dyspnoeas,6,1.42,4.21,4.4,2.65,1.21076,2.63088,5.90887
abobotulinumtoxin a,dyspnoeas,277,206,1.34,1.09,1.34,1.21063,1.33841,1.47489
sodium,dyspnoeas,2842,2275.41,1.25,1.33,1.25,1.21038,1.24851,1.28742
sodium chloride,dyspnoeas,416,316,1.32,1.7,1.31,1.20959,1.31253,1.42114
abacavir/lamivudine/zidovudine,dyspnoeas,61,39.6,1.54,1.53,1.5,1.20929,1.50222,1.8394
pantoprazole,dyspnoeas,1325,1049.39,1.26,1.18,1.26,1.2054,1.26153,1.31938
artemether,dyspnoeas,6,1.44,4.17,3.5,2.62,1.20209,2.6054,5.82932
nitrate,dyspnoeas,9,3.12,2.88,2.75,2.16,1.20206,2.1757,3.75491
iloperidone,dyspnoeas,44,27.34,1.61,1.52,1.55,1.20033,1.55129,1.96562
palonosetron,dyspnoeas,52,33.33,1.56,2.1,1.51,1.19661,1.5142,1.88409
nandrolone,dyspnoeas,14,6.3,2.22,1.91,1.89,1.1958,1.9035,2.87813
candesartan,dyspnoeas,400,307.21,1.3,1.31,1.3,1.19432,1.29807,1.40766
sotrovimab,dyspnoeas,138,99.34,1.39,1.7,1.37,1.19243,1.37568,1.57686
denileukin,dyspnoeas,33,19.54,1.69,2.4,1.6,1.19146,1.60411,2.10441
ponatinib,dyspnoeas,499,388.66,1.28,1.33,1.28,1.18888,1.28082,1.37738
ceftriaxone,dyspnoeas,834,661.56,1.26,1.57,1.26,1.18858,1.2589,1.33193
nisoldipine,dyspnoeas,28,16.04,1.75,1.71,1.63,1.18632,1.63972,2.19913
iodine,dyspnoeas,64,42.79,1.5,1.09,1.46,1.1827,1.46144,1.78116
alglucosidase,dyspnoeas,296,227.02,1.3,2.04,1.3,1.17843,1.29849,1.42646
amikacin,dyspnoeas,1048,847.46,1.24,5.49,1.24,1.17362,1.23531,1.29911
mobocertinib,dyspnoeas,34,20.61,1.65,1.6,1.56,1.17281,1.57176,2.05389
multivitamin,dyspnoeas,42,26.63,1.58,1.66,1.51,1.16863,1.51962,1.93557
bedaquiline,dyspnoeas,126,91.97,1.37,1.43,1.35,1.1673,1.35584,1.56372
zirconium zr 89 crefmirlimab berdoxam,dyspnoeas,4,0.57,6.99,3.21,3.62,1.16395,3.58924,10.81321
pemetrexed,dyspnoeas,658,529.13,1.24,1.52,1.24,1.16353,1.24139,1.32266
brivanib,dyspnoeas,9,3.27,2.75,2.75,2.08,1.16226,2.09746,3.58712
levomefolate,dyspnoeas,55,36.65,1.5,1.33,1.46,1.16213,1.46073,1.80697
selinexor,dyspnoeas,319,249.92,1.28,1.3,1.27,1.15826,1.27167,1.39225
tivozanib,dyspnoeas,75,52.41,1.43,1.57,1.4,1.15565,1.40462,1.6872
terfenadine,dyspnoeas,298,234.1,1.27,1.3,1.27,1.15106,1.26792,1.39244
spironolactone,dyspnoeas,488,392.74,1.24,1.16,1.24,1.14971,1.23966,1.3342
diclofenac,dyspnoeas,2328,1956.73,1.19,0.95,1.19,1.14912,1.1892,1.23019
rituxumab,dyspnoeas,111,81.54,1.36,1.7,1.34,1.14682,1.34543,1.56579
sorafenib,dyspnoeas,1101,913.06,1.21,1.23,1.2,1.14594,1.20465,1.26534
eculizumab,dyspnoeas,2478,2094.32,1.18,1.6,1.18,1.14405,1.1827,1.2222
azidothymidine,dyspnoeas,35,21.94,1.6,1.56,1.52,1.14297,1.52502,1.98527
exemestane,dyspnoeas,336,267.62,1.26,1.15,1.25,1.1424,1.25122,1.36674
hydrochlorothiazide,dyspnoeas,1262,1055.85,1.2,1.12,1.19,1.1398,1.19423,1.25036
isosorbide,dyspnoeas,147,111.37,1.32,1.31,1.31,1.13967,1.30887,1.49406
cholecalciferol,dyspnoeas,21,11.65,1.8,1.71,1.64,1.13736,1.65537,2.31679
fludrocortisone,dyspnoeas,13,6.02,2.16,1.95,1.82,1.1362,1.84014,2.81865
liothyronine,dyspnoeas,103,75.87,1.36,1.22,1.34,1.13563,1.34059,1.56891
daunorubicin,dyspnoeas,95,69.44,1.37,1.6,1.35,1.13512,1.34939,1.58915
ritodrine,dyspnoeas,91,66.3,1.37,1.72,1.35,1.13367,1.35284,1.59869
dicloxacillin,dyspnoeas,30,18.41,1.63,1.64,1.54,1.12995,1.54393,2.05034
onasemnogene abeparvovec,dyspnoeas,137,104.39,1.31,2.07,1.3,1.12684,1.30068,1.49158
acetylcysteine,dyspnoeas,69,49.03,1.41,2,1.38,1.12578,1.37998,1.67002
idursulfase,dyspnoeas,290,233.38,1.24,1.87,1.24,1.12216,1.23774,1.36101
drospirenone,dyspnoeas,182,142.63,1.28,1.18,1.27,1.11974,1.26778,1.42835
cetuximab,dyspnoeas,1291,1100.85,1.17,1.54,1.17,1.11898,1.17179,1.22624
benazepril,dyspnoeas,149,115.18,1.29,1.25,1.28,1.11839,1.28321,1.4635
laronidase,dyspnoeas,249,199.74,1.25,1.91,1.24,1.11625,1.24096,1.37463
hydralazine,dyspnoeas,157,122.11,1.29,1.14,1.27,1.11611,1.27598,1.45045
dichlorphenamide,dyspnoeas,82,60.08,1.36,1.39,1.34,1.115,1.34345,1.60129
lamivudine/zidovudine,dyspnoeas,171,134.84,1.27,1.2,1.26,1.10804,1.25956,1.42433
sildenafil,dyspnoeas,2190,1912.56,1.15,1.06,1.14,1.10479,1.14455,1.18524
hyaluronidase,dyspnoeas,74,54.14,1.37,1.15,1.34,1.10345,1.34295,1.61497
praziquantel,dyspnoeas,10,4.17,2.4,2.23,1.9,1.10324,1.91933,3.13548
pazopanib,dyspnoeas,943,808.97,1.17,1.11,1.16,1.10318,1.16441,1.22788
gadodiamide,dyspnoeas,117,90.2,1.3,1.85,1.28,1.09891,1.28376,1.48831
dinoprostone,dyspnoeas,50,34.82,1.44,0.73,1.39,1.09876,1.3969,1.74501
alfuzosin,dyspnoeas,99,75.13,1.32,1.3,1.3,1.09875,1.30144,1.52771
desloratadine,dyspnoeas,143,112.47,1.27,1.26,1.26,1.09589,1.26105,1.44204
betamethasone,dyspnoeas,297,245.32,1.21,0.86,1.21,1.09492,1.20627,1.32493
riluzole,dyspnoeas,80,59.66,1.34,1.29,1.32,1.09285,1.31988,1.57648
afatinib,dyspnoeas,214,173.89,1.23,1.19,1.22,1.09197,1.22428,1.36688
sparfloxacin,dyspnoeas,12,5.62,2.13,2.13,1.78,1.08982,1.80022,2.80031
magnesium oxide,dyspnoeas,142,112.27,1.26,1.09,1.25,1.08969,1.25454,1.43526
vilanterol,dyspnoeas,163,130.28,1.25,3.74,1.24,1.08952,1.24242,1.40903
cabazitaxel,dyspnoeas,117,91.02,1.29,1.75,1.27,1.08918,1.27239,1.47513
cefotetan,dyspnoeas,80,59.97,1.33,1.89,1.31,1.0874,1.31329,1.56859
trandolapril,dyspnoeas,49,34.44,1.42,1.4,1.38,1.08581,1.38386,1.73242
ciprofloxacin,dyspnoeas,1836,1630.24,1.13,1.09,1.13,1.08297,1.12562,1.16938
imatinib,dyspnoeas,2188,1949.59,1.12,1.02,1.12,1.08282,1.1218,1.1617
sunitinib,dyspnoeas,1748,1553.05,1.13,1.06,1.12,1.08124,1.12491,1.16973
telmisartan,dyspnoeas,382,324.71,1.18,1.15,1.17,1.07735,1.17324,1.27465
tuberculin,dyspnoeas,180,146.65,1.23,1.1,1.22,1.07666,1.21985,1.37523
arformoterol,dyspnoeas,221,182.69,1.21,5.38,1.2,1.07567,1.20377,1.34166
dalbavancin,dyspnoeas,45,31.51,1.43,1.96,1.38,1.07533,1.38541,1.7505
placebo,dyspnoeas,133,106.4,1.25,1.38,1.24,1.07136,1.23934,1.42405
ziconotide,dyspnoeas,53,38.27,1.38,0.62,1.35,1.07022,1.351,1.67735
mefloquine,dyspnoeas,199,164.25,1.21,1.22,1.2,1.07018,1.20501,1.35072
deferasirox,dyspnoeas,974,862.91,1.13,1.12,1.13,1.06926,1.12762,1.18808
cytomegalovirus,dyspnoeas,16,8.7,1.84,2.39,1.63,1.06779,1.6439,2.40769
abacavir,dyspnoeas,361,308.89,1.17,1.1,1.16,1.06752,1.16541,1.26912
aminohippurate,dyspnoeas,4,0.66,6.09,7.9,3.1,1.06745,3.00752,9.23483
ombitasvir/paritaprevir/ritonavir,dyspnoeas,523,455.9,1.15,1.19,1.14,1.06467,1.145,1.22927
silodosin,dyspnoeas,63,46.93,1.34,1.31,1.31,1.06316,1.31586,1.60593
tetrahydrocannabinol,dyspnoeas,76,57.98,1.31,1.33,1.29,1.06274,1.28994,1.54754
vorinostat,dyspnoeas,95,74.44,1.28,1.34,1.26,1.06042,1.26055,1.48447
ipodate,dyspnoeas,17,9.54,1.78,1.79,1.59,1.05888,1.60843,2.3296
calcium carbonate,dyspnoeas,24,15.01,1.6,1.47,1.49,1.05632,1.49883,2.05306
acetaminophen/codeine,dyspnoeas,39,27.33,1.43,1.24,1.37,1.04944,1.37834,1.77029
dextran 70,dyspnoeas,4,0.68,5.91,7.34,3,1.04859,2.90984,8.91568
unknown,dyspnoeas,8172,7654.92,1.07,1.06,1.07,1.04813,1.06744,1.08698
enalapril,dyspnoeas,711,638.46,1.11,1.11,1.11,1.04499,1.11214,1.18213
soybean oil,dyspnoeas,20,12.04,1.66,2.76,1.52,1.0439,1.53303,2.15969
droperidol,dyspnoeas,47,34.22,1.37,1.62,1.33,1.04287,1.33606,1.67999
follitropin alfa,dyspnoeas,30,20.09,1.49,1.21,1.42,1.04196,1.42335,1.88934
plasma,dyspnoeas,30,20.1,1.49,1.87,1.42,1.04159,1.42284,1.88866
deferoxamine,dyspnoeas,93,74.17,1.25,1.24,1.24,1.04006,1.23867,1.46116
enfurvitide,dyspnoeas,54,40.34,1.34,1.14,1.3,1.03854,1.30807,1.62087
triamterene,dyspnoeas,66,50.68,1.3,1.22,1.28,1.03848,1.27887,1.55392
tositumomab,dyspnoeas,12,5.98,2.01,3.11,1.69,1.03759,1.71196,2.65448
5-fluorouracil,dyspnoeas,93,74.35,1.25,1.35,1.23,1.03753,1.23567,1.45762
technetium,dyspnoeas,250,216.13,1.16,1.59,1.15,1.03655,1.1521,1.27594
pomalidomide,dyspnoeas,2149,2003.32,1.07,1.09,1.07,1.03469,1.07228,1.11077
teriparatide,dyspnoeas,2624,2456.03,1.07,0.87,1.07,1.03411,1.06804,1.10269
flecainide,dyspnoeas,155,130.19,1.19,1.14,1.18,1.03344,1.18249,1.34523
alendronate,dyspnoeas,2969,2788.87,1.06,1.13,1.06,1.03248,1.06428,1.09673
glyphosate,dyspnoeas,258,224.37,1.15,1.41,1.14,1.03231,1.14547,1.26661
agalsidase alfa,dyspnoeas,522,470.86,1.11,1.73,1.11,1.02893,1.10663,1.18816
irbesartan,dyspnoeas,379,338.09,1.12,1.06,1.12,1.02646,1.1182,1.21525
tryptophan,dyspnoeas,8,3.17,2.53,2.51,1.89,1.026,1.90963,3.31686
interferon alfa-2b,dyspnoeas,458,412.49,1.11,0.98,1.11,1.02514,1.10806,1.19535
methyl salicylate,dyspnoeas,4,0.71,5.64,2.19,2.86,1.01975,2.7694,8.42269
domperidone,dyspnoeas,10,4.63,2.16,2.18,1.74,1.01759,1.76477,2.85562
tamsulosin,dyspnoeas,569,520.83,1.09,1.04,1.09,1.01731,1.09075,1.16765
omacetaxine,dyspnoeas,29,19.81,1.46,1.17,1.39,1.01586,1.39523,1.86024
dexamethasone,dyspnoeas,1240,1169.15,1.06,0.93,1.06,1.01114,1.05986,1.11013
oxandrolone,dyspnoeas,12,6.17,1.94,1.95,1.65,1.0107,1.66671,2.5806
fentanyl,dyspnoeas,1959,1867.43,1.05,0.7,1.05,1.01011,1.04859,1.08803
vericiguat,dyspnoeas,27,18.28,1.48,1.42,1.39,1.00867,1.40186,1.88743
tocilizumab,dyspnoeas,2400,2301.37,1.04,1.23,1.04,1.00789,1.04249,1.07788
cosyntropin,dyspnoeas,9,3.97,2.27,2.82,1.78,1.00641,1.80088,2.99743
prochlorperazine,dyspnoeas,111,93.32,1.19,1.21,1.18,1.00446,1.17837,1.37132
carbidopa/levodopa,dyspnoeas,1215,1158.68,1.05,0.78,1.05,0.99922,1.04788,1.09809
calcium,dyspnoeas,281,254.19,1.11,0.94,1.1,0.99737,1.10183,1.21334
pentostatin,dyspnoeas,29,20.21,1.43,1.86,1.36,0.99719,1.36953,1.82583
prednisolone,dyspnoeas,893,848.17,1.05,0.89,1.05,0.99504,1.05185,1.11079
icatibant,dyspnoeas,152,132.59,1.15,1,1.14,0.99409,1.13899,1.29734
tiludronate,dyspnoeas,6,1.93,3.11,3.21,2.04,0.99279,2.05807,4.0884
ranolazine,dyspnoeas,358,329.7,1.09,1.09,1.08,0.99178,1.08313,1.17993
anagrelide,dyspnoeas,82,67.77,1.21,1.15,1.19,0.99129,1.19436,1.42348
cisplatin,dyspnoeas,1034,990.76,1.04,1.21,1.04,0.99039,1.0428,1.09703
diltiazem,dyspnoeas,917,877.04,1.05,1.04,1.04,0.98892,1.04461,1.10236
clonazepam,dyspnoeas,782,744.59,1.05,0.96,1.05,0.98864,1.04911,1.112
ofloxacin,dyspnoeas,233,210.53,1.11,1.15,1.1,0.98798,1.10234,1.22521
IUD,dyspnoeas,816,779.21,1.05,0.38,1.05,0.98707,1.04613,1.1075
ixabepilone,dyspnoeas,79,65.3,1.21,1.43,1.19,0.98702,1.19347,1.42694
anidulafungin,dyspnoeas,28,19.61,1.43,1.72,1.35,0.98526,1.36095,1.82295
arsenic,dyspnoeas,92,77.58,1.19,1.63,1.17,0.98367,1.17263,1.38443
temsirolimus,dyspnoeas,220,198.99,1.11,1.51,1.1,0.98352,1.10093,1.22733
guaifenesin,dyspnoeas,508,479.26,1.06,0.94,1.06,0.98288,1.05818,1.13723
platelet,dyspnoeas,7,2.66,2.63,3.05,1.88,0.97933,1.9052,3.45354
cyclosporine,dyspnoeas,1474,1442.16,1.02,0.87,1.02,0.97839,1.02152,1.0659
erlotinib,dyspnoeas,1517,1485.48,1.02,0.98,1.02,0.9782,1.02068,1.06439
levofloxacin,dyspnoeas,1683,1652.63,1.02,1.01,1.02,0.97764,1.0179,1.05925
elosulfase alfa,dyspnoeas,197,178.07,1.11,1.69,1.1,0.97733,1.10113,1.23498
epoetin alfa,dyspnoeas,514,488.77,1.05,0.93,1.05,0.97561,1.04989,1.12785
fluticasone/vilanterol,dyspnoeas,143,126.64,1.13,3.92,1.12,0.97478,1.12166,1.28262
talc,dyspnoeas,7,2.68,2.61,2.57,1.87,0.97418,1.8944,3.42865
amivantamab,dyspnoeas,45,34.98,1.29,1.6,1.25,0.97294,1.25336,1.58337
dorzolamide,dyspnoeas,117,102.21,1.14,0.75,1.13,0.97174,1.13517,1.316
muromonab,dyspnoeas,99,85.65,1.16,1.69,1.14,0.96611,1.1443,1.34319
safflower,dyspnoeas,27,19.18,1.41,2.03,1.33,0.96501,1.34103,1.80515
peginterferon,dyspnoeas,33,24.49,1.35,1.14,1.29,0.96447,1.29784,1.70104
itraconazole,dyspnoeas,381,362.11,1.05,1.07,1.05,0.96392,1.04982,1.1407
mitomycin,dyspnoeas,103,89.68,1.15,1.22,1.14,0.96369,1.13757,1.33124
flutemetamol,dyspnoeas,7,2.73,2.57,3.21,1.85,0.96306,1.87116,3.37564
sumatriptan,dyspnoeas,913,901.34,1.01,0.91,1.01,0.95799,1.01207,1.06814
methyl cellulose,dyspnoeas,16,9.88,1.62,1.63,1.46,0.95709,1.472,2.1508
trimethoprim,dyspnoeas,351,335.59,1.05,0.97,1.04,0.95458,1.04343,1.13762
anastrozole,dyspnoeas,585,571.61,1.02,1.02,1.02,0.95413,1.02202,1.09306
hydroxychloroquine,dyspnoeas,459,445.35,1.03,0.9,1.03,0.95192,1.02883,1.10978
disopyramide,dyspnoeas,75,63.97,1.17,1.13,1.15,0.95175,1.1567,1.38922
verapamil,dyspnoeas,615,603.72,1.02,0.99,1.02,0.95143,1.01738,1.08631
polyethylene glycol,dyspnoeas,76,65.04,1.17,1.15,1.15,0.95005,1.15312,1.38331
doxazosin mesylate,dyspnoeas,376,362.39,1.04,1.01,1.03,0.95004,1.0353,1.12552
beclometasone,dyspnoeas,661,651.75,1.01,2.15,1.01,0.94959,1.01299,1.07915
tapentadol,dyspnoeas,205,191.5,1.07,1.05,1.07,0.9484,1.06599,1.19292
mepivacaine,dyspnoeas,114,101.88,1.12,0.94,1.11,0.94804,1.10978,1.28898
mycophenolate,dyspnoeas,307,294.05,1.04,0.93,1.04,0.94662,1.04121,1.14189
obinutuzumab,dyspnoeas,280,267.25,1.05,1.49,1.04,0.94539,1.04458,1.1505
sofosbuvir,dyspnoeas,536,527.58,1.02,0.97,1.01,0.94415,1.01447,1.0882
cobimetinib,dyspnoeas,71,60.88,1.17,1.14,1.15,0.94093,1.1499,1.3878
delavirdine,dyspnoeas,9,4.34,2.07,2.01,1.65,0.9405,1.67891,2.77305
dihydroergotamine,dyspnoeas,39,30.68,1.27,1.42,1.23,0.94004,1.23448,1.58516
rosuvastatin,dyspnoeas,1427,1456.42,0.98,0.98,0.98,0.93729,0.9793,1.02255
citric acid,dyspnoeas,7,2.84,2.46,2.4,1.79,0.93635,1.81577,3.25211
tobramycin,dyspnoeas,954,966.77,0.99,2.3,0.99,0.93446,0.98602,1.03944
salmeterol,dyspnoeas,1834,1887.6,0.97,3.76,0.97,0.9344,0.97122,1.009
cefadroxil,dyspnoeas,63,53.62,1.17,1.16,1.15,0.93416,1.15613,1.41086
brinzolamide,dyspnoeas,90,80.08,1.12,0.81,1.11,0.93113,1.1122,1.31537
epirubicin,dyspnoeas,290,281.62,1.03,1.26,1.03,0.93101,1.0269,1.12915
grepafloxacin,dyspnoeas,15,9.37,1.6,1.7,1.43,0.92877,1.44901,2.14082
palforzia,dyspnoeas,64,54.92,1.17,1.38,1.14,0.92852,1.14718,1.39784
parathyroid hormone,dyspnoeas,136,126.19,1.08,0.89,1.07,0.92724,1.07084,1.22856
idelalisib,dyspnoeas,190,180.83,1.05,1.01,1.05,0.92642,1.04609,1.17563
magnesium sulfate,dyspnoeas,45,36.85,1.22,1.38,1.19,0.92575,1.19252,1.50642
zileuton,dyspnoeas,23,16.45,1.4,1.39,1.31,0.92518,1.32232,1.82108
rasburicase,dyspnoeas,30,22.83,1.31,1.71,1.26,0.92484,1.26307,1.67586
methotrexate,dyspnoeas,3736,3938.61,0.95,0.8,0.95,0.92309,0.94838,0.97413
naproxen,dyspnoeas,2512,2633.36,0.95,0.92,0.95,0.9227,0.95365,0.98529
nicotine,dyspnoeas,1558,1619.76,0.96,0.65,0.96,0.92194,0.96143,1.00205
respiratory,dyspnoeas,26,19.27,1.35,2.05,1.28,0.92038,1.28713,1.74142
doxycycline,dyspnoeas,543,548.63,0.99,0.92,0.99,0.92029,0.98837,1.05973
fosfomycin,dyspnoeas,21,14.79,1.42,1.4,1.32,0.918,1.33461,1.86342
augmentin,dyspnoeas,445,448.52,0.99,1.02,0.99,0.9153,0.99047,1.06965
bismuth,dyspnoeas,37,29.78,1.24,1.26,1.2,0.91158,1.20602,1.55829
axitinib,dyspnoeas,460,467.45,0.98,0.92,0.98,0.9091,0.98248,1.05969
nateglinide,dyspnoeas,43,35.66,1.21,1.23,1.17,0.90801,1.17665,1.49391
fingolimod,dyspnoeas,2959,3161.1,0.94,0.95,0.94,0.90785,0.93586,0.96444
prasugrel,dyspnoeas,238,235.14,1.01,0.9,1.01,0.90527,1.00887,1.12008
quinapril,dyspnoeas,166,160.27,1.04,0.99,1.03,0.90491,1.03065,1.16753
rivastigmine,dyspnoeas,379,384.47,0.99,0.67,0.98,0.90312,0.98383,1.06922
ledipasvir,dyspnoeas,137,131.06,1.05,1.05,1.04,0.90016,1.03901,1.19146
sulfamethoxazole,dyspnoeas,242,241.49,1,0.96,1,0.89719,0.99895,1.10813
tinidazole,dyspnoeas,6,2.26,2.65,2.57,1.81,0.89702,1.83832,3.48606
terconazole,dyspnoeas,19,13.36,1.42,0.55,1.32,0.8955,1.32769,1.88296
darolutamide,dyspnoeas,31,24.66,1.26,1.12,1.21,0.89267,1.21276,1.60205
tucatinib,dyspnoeas,64,57.21,1.12,0.96,1.1,0.89242,1.10258,1.34347
hydrocortisone,dyspnoeas,291,295.14,0.99,0.84,0.98,0.89178,0.98345,1.08121
buprenorphine/naloxone,dyspnoeas,414,427.24,0.97,0.78,0.97,0.8913,0.96733,1.04757
penicillin,dyspnoeas,125,120,1.04,0.94,1.03,0.89043,1.03484,1.19409
cemiplimab,dyspnoeas,68,61.41,1.11,1.39,1.09,0.89,1.09251,1.3237
nizatidine,dyspnoeas,151,147.48,1.02,1,1.02,0.88852,1.01849,1.16057
dianeal,dyspnoeas,2842,3100.61,0.92,0.74,0.92,0.88841,0.91639,0.94495
tubocurarine,dyspnoeas,12,7.23,1.66,2.07,1.44,0.88707,1.46014,2.24948
doxorubicin,dyspnoeas,1346,1450.28,0.93,1.11,0.93,0.88669,0.92764,0.96985
nitroglycerin,dyspnoeas,274,278.87,0.98,0.57,0.98,0.88587,0.9799,1.08036
alirocumab,dyspnoeas,551,579.2,0.95,0.82,0.95,0.88515,0.95013,1.01822
dacarbazine,dyspnoeas,51,44.62,1.14,1.39,1.12,0.88451,1.12161,1.39785
naloxone,dyspnoeas,140,136.85,1.02,0.95,1.02,0.88266,1.0172,1.16478
atovaquone,dyspnoeas,120,115.92,1.04,1,1.03,0.88193,1.0282,1.18983
methylprednisolone,dyspnoeas,1057,1138.42,0.93,1.04,0.93,0.88176,0.92791,0.97563
ibuprofen,dyspnoeas,2887,3176.54,0.91,0.83,0.91,0.88112,0.90865,0.93675
bortezomib,dyspnoeas,1047,1129.84,0.93,1.01,0.93,0.87984,0.9261,0.97396
lanreotide,dyspnoeas,233,236.68,0.98,0.83,0.98,0.87952,0.98133,1.0907
alglucerase,dyspnoeas,28,22.22,1.26,1.85,1.2,0.87688,1.21097,1.62142
iodipamide,dyspnoeas,14,9.13,1.53,2.19,1.37,0.87504,1.38666,2.07274
antivenin,dyspnoeas,37,31.13,1.19,1.2,1.15,0.87392,1.15616,1.49376
belimumab,dyspnoeas,660,707.36,0.93,1.04,0.93,0.87374,0.93211,0.99304
cannabis,dyspnoeas,6,2.36,2.54,4.06,1.75,0.87181,1.78253,3.34783
ezetimibe,dyspnoeas,492,523.59,0.94,0.93,0.94,0.87057,0.9384,1.00965
porfimer,dyspnoeas,23,17.68,1.3,1.85,1.23,0.86582,1.23729,1.70344
penicillin v,dyspnoeas,63,58,1.09,0.96,1.07,0.86543,1.07104,1.30697
infliximab,dyspnoeas,9933,11307.52,0.88,1.38,0.88,0.86398,0.87839,0.89297
elexacaftor/tezacaftor/ivacaftor,dyspnoeas,258,268.62,0.96,1.04,0.96,0.86325,0.95787,1.05916
labetalol,dyspnoeas,99,96.06,1.03,1.03,1.02,0.8631,1.02227,1.19993
tropicamide,dyspnoeas,18,12.98,1.39,0.84,1.28,0.86289,1.2934,1.85005
belzutifan,dyspnoeas,11,6.6,1.67,1.66,1.43,0.86219,1.45138,2.27477
decongestant,dyspnoeas,19,13.96,1.36,1.44,1.27,0.86085,1.27614,1.80936
mometasone,dyspnoeas,837,917.59,0.91,2,0.91,0.86067,0.91149,0.96427
acebutolol,dyspnoeas,31,25.64,1.21,1.2,1.16,0.86053,1.16905,1.54419
proparacaine,dyspnoeas,13,8.42,1.54,0.85,1.37,0.85862,1.38489,2.09856
astemizole,dyspnoeas,58,53.28,1.09,1.07,1.07,0.85831,1.07204,1.31871
trastuzumab emtansine,dyspnoeas,166,169.09,0.98,1.25,0.98,0.85816,0.97739,1.1072
flutamide,dyspnoeas,104,102.42,1.02,1.03,1.01,0.85448,1.00782,1.17851
sutimlimab,dyspnoeas,7,3.25,2.16,2.53,1.62,0.85351,1.64726,2.89829
dostarlimab,dyspnoeas,19,14.1,1.35,1.52,1.25,0.85327,1.26488,1.79329
siponimod,dyspnoeas,262,277.64,0.94,0.93,0.94,0.84895,0.94124,1.03999
goserelin,dyspnoeas,180,187.04,0.96,0.81,0.96,0.84611,0.95863,1.08071
lanadelumab,dyspnoeas,93,91.53,1.02,0.87,1.01,0.84602,1.00755,1.18845
ethanol,dyspnoeas,32,27.14,1.18,0.96,1.14,0.84538,1.14278,1.50328
tazemetostat,dyspnoeas,42,37.4,1.12,1.16,1.09,0.84511,1.09854,1.39837
ivacaftor,dyspnoeas,104,103.71,1,1.03,0.99,0.844,0.99546,1.16405
morphine/naltrexone,dyspnoeas,38,33.32,1.14,1.01,1.11,0.84391,1.1122,1.43234
enzalutamide,dyspnoeas,1528,1735.79,0.88,0.86,0.88,0.84346,0.87996,0.9175
