activeingred,reaction,N,E,RR,PRR,EBGM,EBGM_05,EBGM_50,EBGM_95
erythrosine,dyspnoeas,22,10.2,2.16,2.16,1.95,1.35723,1.96159,2.73251
safflower,dyspnoeas,27,13.28,2.03,2.03,1.88,1.35713,1.88948,2.55045
brigatinib,dyspnoeas,128,80.48,1.59,1.59,1.57,1.35438,1.5714,1.81054
respiratory,dyspnoeas,26,12.69,2.05,2.05,1.89,1.35365,1.89702,2.57474
dasatinib,dyspnoeas,1339,945.58,1.42,1.42,1.41,1.35203,1.41466,1.47919
infliximab,dyspnoeas,9933,7226.85,1.37,1.38,1.37,1.35173,1.37428,1.39709
atenolol,dyspnoeas,811,565.13,1.44,1.44,1.43,1.35155,1.43269,1.517
cabergoline,dyspnoeas,195,127.56,1.53,1.53,1.52,1.34578,1.51729,1.70281
obinutuzumab,dyspnoeas,280,187.36,1.49,1.49,1.49,1.3456,1.48684,1.63766
cytomegalovirus,dyspnoeas,16,6.7,2.39,2.39,2.06,1.34286,2.07606,3.0631
arsenic,dyspnoeas,92,56.5,1.63,1.63,1.6,1.34244,1.60067,1.89021
hydrochlorothiazide/valsartan,dyspnoeas,64,37.61,1.7,1.7,1.65,1.3414,1.65796,2.0212
dacomitinib,dyspnoeas,37,19.86,1.86,1.86,1.77,1.3392,1.77364,2.29496
cefuroxime axetil,dyspnoeas,79,47.81,1.65,1.65,1.62,1.33856,1.61897,1.93627
temsirolimus,dyspnoeas,220,146.01,1.51,1.51,1.5,1.33721,1.49691,1.66886
proguanil,dyspnoeas,16,6.74,2.38,2.38,2.05,1.33626,2.06563,3.04688
fosfomycin tromethamine,dyspnoeas,31,16.12,1.92,1.92,1.8,1.33043,1.81011,2.39608
daunorubicin,dyspnoeas,95,59.26,1.6,1.6,1.57,1.32651,1.57713,1.85764
methylergonovine,dyspnoeas,52,30.06,1.73,1.73,1.67,1.32304,1.67472,2.08445
chlorambucil,dyspnoeas,82,50.54,1.62,1.62,1.59,1.32078,1.59172,1.89758
megestrol,dyspnoeas,118,75.65,1.56,1.56,1.54,1.31904,1.54006,1.78456
pimecrolimus,dyspnoeas,139,90.84,1.53,1.53,1.51,1.31306,1.51416,1.73487
bumetanide,dyspnoeas,58,34.42,1.69,1.69,1.63,1.31096,1.63819,2.01628
inotersen,dyspnoeas,91,57.24,1.59,1.59,1.56,1.30987,1.56335,1.84774
ethinyl estradiol/drospirenone,dyspnoeas,29,15.11,1.92,1.92,1.79,1.30877,1.79991,2.40402
tezacaftor/ivacaftor,dyspnoeas,138,91.39,1.51,1.51,1.49,1.29531,1.49447,1.71312
homeopathic,dyspnoeas,24,12.07,1.99,1.99,1.82,1.29141,1.83534,2.51942
plasma,dyspnoeas,30,16,1.87,1.87,1.76,1.29014,1.76434,2.34524
bicalutamide,dyspnoeas,262,182.5,1.44,1.44,1.43,1.2882,1.4283,1.57821
sodium,dyspnoeas,2842,2140.6,1.33,1.33,1.33,1.28658,1.3271,1.36847
lapatinib,dyspnoeas,693,505.99,1.37,1.37,1.37,1.28351,1.36712,1.45429
clarithromycin,dyspnoeas,1393,1045.73,1.33,1.33,1.33,1.27315,1.33093,1.39043
gadolinium,dyspnoeas,47,27.84,1.69,1.69,1.63,1.27221,1.63068,2.05157
lorlatinib,dyspnoeas,145,98.35,1.47,1.47,1.46,1.27013,1.46021,1.6684
pentostatin,dyspnoeas,29,15.61,1.86,1.86,1.74,1.26959,1.74578,2.33106
tivozanib,dyspnoeas,75,47.85,1.57,1.57,1.53,1.26378,1.53632,1.84568
aminohippurate,dyspnoeas,4,0.51,7.9,7.9,4.07,1.26228,4.0739,12.3791
glyphosate,dyspnoeas,258,183.35,1.41,1.41,1.4,1.26167,1.40001,1.54813
bromocriptine,dyspnoeas,170,117.55,1.45,1.45,1.43,1.26157,1.43472,1.62305
lumacaftor,dyspnoeas,6,1.36,4.4,4.4,2.74,1.25777,2.72578,6.07922
alglucerase,dyspnoeas,28,15.15,1.85,1.85,1.72,1.25415,1.73455,2.32717
choriogonadotropin alfa,dyspnoeas,72,46.14,1.56,1.56,1.53,1.25224,1.52857,1.84305
sulfamethoxazole/trimethoprim,dyspnoeas,20,9.85,2.03,2.03,1.83,1.25203,1.8424,2.60256
amoxicillin/clavulanate,dyspnoeas,45,26.91,1.67,1.67,1.61,1.25202,1.6138,2.04005
aztreonam,dyspnoeas,92,60.82,1.51,1.51,1.49,1.24911,1.48933,1.75863
pyridostigmine,dyspnoeas,63,39.83,1.58,1.58,1.54,1.24728,1.54418,1.88511
carteolol,dyspnoeas,29,16.04,1.81,1.81,1.69,1.23825,1.7025,2.27282
levothyroxine,dyspnoeas,2210,1722.84,1.28,1.28,1.28,1.23777,1.2821,1.32748
filgrastim,dyspnoeas,555,416.98,1.33,1.33,1.33,1.23759,1.32813,1.42297
ponatinib,dyspnoeas,499,374.03,1.33,1.33,1.33,1.23535,1.33089,1.43125
levobunolol,dyspnoeas,44,26.59,1.65,1.65,1.59,1.23457,1.59597,2.02254
exisulind,dyspnoeas,6,1.4,4.28,4.28,2.67,1.23438,2.65984,5.86277
multivitamin,dyspnoeas,42,25.27,1.66,1.66,1.59,1.23019,1.60022,2.03872
phenylephrine,dyspnoeas,65,42.01,1.55,1.55,1.51,1.22597,1.51263,1.84107
droperidol,dyspnoeas,47,28.97,1.62,1.62,1.56,1.22481,1.56983,1.97482
dofetilide,dyspnoeas,425,319.52,1.33,1.33,1.33,1.22342,1.32638,1.43495
bedaquiline,dyspnoeas,126,88.15,1.43,1.43,1.41,1.21759,1.41436,1.63129
lodoxamide,dyspnoeas,11,4.32,2.55,2.55,2.05,1.21756,2.06827,3.30625
betaxolol,dyspnoeas,73,48.32,1.51,1.51,1.48,1.21547,1.48158,1.78413
abarelix,dyspnoeas,8,2.57,3.11,3.11,2.24,1.2026,2.26456,4.04282
dextran 70,dyspnoeas,4,0.55,7.34,7.34,3.72,1.2016,3.65083,11.37156
crizotinib,dyspnoeas,456,350.39,1.3,1.3,1.3,1.20071,1.29808,1.40057
candesartan,dyspnoeas,400,305.69,1.31,1.31,1.3,1.20037,1.30466,1.41483
abacavir/lamivudine/zidovudine,dyspnoeas,61,39.95,1.53,1.53,1.49,1.20036,1.49135,1.82621
amivantamab,dyspnoeas,45,28.15,1.6,1.6,1.54,1.19913,1.54551,1.95352
gonadotropin,dyspnoeas,13,5.68,2.29,2.29,1.92,1.19838,1.94424,2.97877
porfimer,dyspnoeas,23,12.42,1.85,1.85,1.7,1.19774,1.71483,2.36698
cephalexin,dyspnoeas,374,285.72,1.31,1.31,1.3,1.19711,1.30487,1.41893
losartan,dyspnoeas,1004,795.09,1.26,1.26,1.26,1.19702,1.26135,1.32794
gemibotulinumtoxin a,dyspnoeas,100,69.66,1.44,1.44,1.41,1.19687,1.41659,1.66176
imiglucerase,dyspnoeas,236,176,1.34,1.34,1.33,1.19647,1.33406,1.48184
cosyntropin,dyspnoeas,9,3.19,2.82,2.82,2.13,1.19394,2.15588,3.65887
dapsone,dyspnoeas,73,49.29,1.48,1.48,1.45,1.19211,1.45309,1.74979
cannabis,dyspnoeas,6,1.48,4.06,4.06,2.54,1.19118,2.54222,5.47277
lisinopril,dyspnoeas,1663,1340.44,1.24,1.24,1.24,1.1905,1.23983,1.2905
iodipamide,dyspnoeas,14,6.39,2.19,2.19,1.88,1.19029,1.89522,2.85657
alectinib,dyspnoeas,215,160.42,1.34,1.34,1.33,1.18895,1.33269,1.48759
rasburicase,dyspnoeas,30,17.52,1.71,1.71,1.61,1.18614,1.6216,2.15424
tocilizumab,dyspnoeas,2400,1960.36,1.22,1.23,1.22,1.1831,1.22373,1.26527
placebo,dyspnoeas,133,96.45,1.38,1.38,1.36,1.18076,1.36599,1.56968
selinexor,dyspnoeas,319,245.93,1.3,1.3,1.29,1.17716,1.29245,1.41502
anidulafungin,dyspnoeas,28,16.24,1.72,1.72,1.62,1.17627,1.62642,2.18102
ribavirin,dyspnoeas,957,770.99,1.24,1.24,1.24,1.17512,1.23986,1.30693
tozinameran,dyspnoeas,31,18.46,1.68,1.68,1.59,1.1732,1.59548,2.11014
sorafenib,dyspnoeas,1101,892.01,1.23,1.23,1.23,1.17299,1.23309,1.29521
brivanib,dyspnoeas,9,3.27,2.75,2.75,2.09,1.17271,2.11519,3.57678
nitrate,dyspnoeas,9,3.27,2.75,2.75,2.09,1.17271,2.11519,3.57678
terfenadine,dyspnoeas,298,230.08,1.3,1.3,1.29,1.17128,1.29021,1.41693
ketorolac,dyspnoeas,378,295.34,1.28,1.28,1.28,1.17122,1.27606,1.38698
pentamidine,dyspnoeas,54,35.71,1.51,1.51,1.47,1.16933,1.47326,1.82608
palbociclib,dyspnoeas,3498,2912.99,1.2,1.2,1.2,1.1674,1.20047,1.23417
nisoldipine,dyspnoeas,28,16.39,1.71,1.71,1.6,1.16593,1.61209,2.16166
amlodipine,dyspnoeas,3110,2591.49,1.2,1.2,1.2,1.16465,1.19969,1.23542
rilonacept,dyspnoeas,19,10.01,1.9,1.9,1.71,1.16254,1.7276,2.45801
ixabepilone,dyspnoeas,79,55.41,1.43,1.43,1.4,1.15951,1.40229,1.67692
bosutinib,dyspnoeas,331,260.92,1.27,1.27,1.26,1.15355,1.26433,1.38198
pegvaliase,dyspnoeas,223,172.61,1.29,1.29,1.28,1.14909,1.28532,1.43191
cisplatin,dyspnoeas,1034,853.85,1.21,1.21,1.21,1.14895,1.20977,1.27269
lamotrigine chewable disp,dyspnoeas,245,191.02,1.28,1.28,1.28,1.14731,1.27663,1.41533
dialysis solution,dyspnoeas,331,262.51,1.26,1.26,1.26,1.14657,1.25668,1.37362
aztreonam lysine,dyspnoeas,294,232.06,1.27,1.27,1.26,1.145,1.2621,1.38692
iloperidone,dyspnoeas,44,28.89,1.52,1.52,1.47,1.14079,1.47457,1.86834
epirubicin,dyspnoeas,290,229.69,1.26,1.26,1.26,1.14029,1.25776,1.38303
mobocertinib,dyspnoeas,34,21.3,1.6,1.6,1.52,1.13948,1.52751,1.99597
dicloxacillin,dyspnoeas,30,18.3,1.64,1.64,1.55,1.13911,1.55713,2.06814
dichlorphenamide,dyspnoeas,82,58.87,1.39,1.39,1.37,1.13806,1.37141,1.63476
clopidogrel,dyspnoeas,1903,1614.56,1.18,1.18,1.18,1.13418,1.17804,1.223
flutemetamol,dyspnoeas,7,2.18,3.21,3.21,2.21,1.13316,2.23325,4.17768
isosorbide,dyspnoeas,147,112.1,1.31,1.31,1.3,1.13271,1.30093,1.48507
pantoprazole,dyspnoeas,1325,1123.02,1.18,1.18,1.18,1.1265,1.17897,1.23303
azidothymidine,dyspnoeas,35,22.43,1.56,1.56,1.49,1.1216,1.49697,1.94885
ocrelizumab,dyspnoeas,1563,1337.64,1.17,1.17,1.17,1.11984,1.16774,1.21699
vorinostat,dyspnoeas,95,70.67,1.34,1.34,1.32,1.11642,1.32727,1.56318
5-fluorouracil,dyspnoeas,93,69.07,1.35,1.35,1.33,1.11573,1.32895,1.56782
cemiplimab,dyspnoeas,68,48.79,1.39,1.39,1.36,1.11418,1.36803,1.65794
ombitasvir/paritaprevir/ritonavir,dyspnoeas,523,441.23,1.19,1.19,1.18,1.10003,1.18304,1.27012
interferon alfa-2a,dyspnoeas,115,88.54,1.3,1.3,1.28,1.09914,1.28588,1.4927
enfuvirtide,dyspnoeas,27,16.74,1.61,1.61,1.52,1.09664,1.52533,2.05501
platelet,dyspnoeas,7,2.3,3.05,3.05,2.12,1.09346,2.14696,3.96099
sparfloxacin,dyspnoeas,12,5.65,2.13,2.13,1.79,1.09343,1.80796,2.80514
palforzia,dyspnoeas,64,46.45,1.38,1.38,1.35,1.0934,1.35122,1.64685
trastuzumab emtansine,dyspnoeas,166,132.46,1.25,1.25,1.24,1.09302,1.24496,1.41038
flunisolide,dyspnoeas,61,44.08,1.38,1.38,1.35,1.09136,1.35583,1.66009
alendronate,dyspnoeas,2969,2638.95,1.13,1.13,1.12,1.09111,1.12472,1.15901
lofexidine,dyspnoeas,10,4.28,2.33,2.33,1.87,1.08973,1.89601,3.07393
cholecalciferol,dyspnoeas,21,12.3,1.71,1.71,1.57,1.0867,1.58221,2.21275
desloratadine,dyspnoeas,143,113.5,1.26,1.26,1.25,1.08645,1.25024,1.42975
benazepril,dyspnoeas,149,118.76,1.25,1.25,1.24,1.08546,1.24549,1.42052
artemether,dyspnoeas,6,1.71,3.5,3.5,2.25,1.08331,2.26852,4.58788
alfuzosin,dyspnoeas,99,76.43,1.3,1.3,1.28,1.08087,1.28037,1.50308
prednisone,dyspnoeas,1204,1061.34,1.13,1.13,1.13,1.08066,1.13353,1.1881
tetrahydrocannabinol,dyspnoeas,76,57.16,1.33,1.33,1.31,1.07832,1.30904,1.57062
mefloquine,dyspnoeas,199,163.3,1.22,1.22,1.21,1.07654,1.21221,1.35884
spironolactone,dyspnoeas,488,420.25,1.16,1.16,1.16,1.07481,1.15891,1.2473
isatuximab,dyspnoeas,60,43.96,1.36,1.36,1.33,1.07443,1.33726,1.63997
tubocurarine,dyspnoeas,12,5.8,2.07,2.07,1.75,1.06937,1.76747,2.73931
hydrochlorothiazide,dyspnoeas,1262,1125.98,1.12,1.12,1.12,1.06894,1.11999,1.17263
luspatercept,dyspnoeas,42,29.32,1.43,1.43,1.38,1.06781,1.38874,1.7687
trandolapril,dyspnoeas,49,35.08,1.4,1.4,1.36,1.06779,1.3612,1.70426
ipodate,dyspnoeas,17,9.5,1.79,1.79,1.61,1.06741,1.62299,2.35036
dacarbazine,dyspnoeas,51,36.76,1.39,1.39,1.35,1.06729,1.35387,1.68791
nandrolone,dyspnoeas,14,7.32,1.91,1.91,1.67,1.06096,1.68649,2.5312
gemtuzumab ozogamicin,dyspnoeas,137,111.01,1.23,1.23,1.22,1.06086,1.22458,1.40436
doxorubicin,dyspnoeas,1346,1215.77,1.11,1.11,1.11,1.05753,1.10638,1.15671
deferasirox,dyspnoeas,974,873.47,1.12,1.12,1.11,1.05638,1.11405,1.17378
afatinib,dyspnoeas,214,179.85,1.19,1.19,1.18,1.05628,1.1843,1.32227
pomalidomide,dyspnoeas,2149,1966.51,1.09,1.09,1.09,1.05406,1.09235,1.13156
praziquantel,dyspnoeas,10,4.48,2.23,2.23,1.81,1.05263,1.82965,2.9574
riluzole,dyspnoeas,80,62.07,1.29,1.29,1.27,1.05214,1.27086,1.51803
fludrocortisone,dyspnoeas,13,6.66,1.95,1.95,1.68,1.05119,1.70156,2.59117
telmisartan,dyspnoeas,382,333.11,1.15,1.15,1.14,1.05043,1.14394,1.24283
pazopanib,dyspnoeas,943,850.34,1.11,1.11,1.11,1.04964,1.10791,1.16829
ciprofloxacin,dyspnoeas,1836,1682.82,1.09,1.09,1.09,1.04919,1.09051,1.1329
warfarin sodium,dyspnoeas,773,694.36,1.11,1.11,1.11,1.04749,1.11195,1.17901
exemestane,dyspnoeas,336,292.26,1.15,1.15,1.15,1.04668,1.1464,1.25226
anifrolumab,dyspnoeas,26,16.82,1.55,1.55,1.45,1.04562,1.46365,1.98197
enalapril,dyspnoeas,711,638.41,1.11,1.11,1.11,1.04511,1.11229,1.18228
lamivudine/zidovudine,dyspnoeas,171,143.09,1.2,1.2,1.19,1.04503,1.18797,1.3434
dihydroergotamine,dyspnoeas,39,27.49,1.42,1.42,1.37,1.0449,1.37285,1.76358
nivolumab,dyspnoeas,2738,2540.48,1.08,1.08,1.08,1.0439,1.07741,1.11163
silodosin,dyspnoeas,63,47.93,1.31,1.31,1.29,1.0424,1.29039,1.57501
magnesium sulfate,dyspnoeas,45,32.67,1.38,1.38,1.34,1.04001,1.34022,1.6936
unknown,dyspnoeas,8172,7727.39,1.06,1.06,1.06,1.03831,1.05743,1.07678
peginterferon alfa-2b,dyspnoeas,258,223.15,1.16,1.16,1.15,1.03807,1.15189,1.27373
isoproterenol,dyspnoeas,18,10.59,1.7,1.7,1.54,1.03747,1.55803,2.23334
pyrithione zinc,dyspnoeas,9,3.85,2.33,2.33,1.83,1.03666,1.85938,3.08754
drospirenone,dyspnoeas,182,154.35,1.18,1.18,1.17,1.03578,1.17277,1.32133
levomefolate,dyspnoeas,55,41.35,1.33,1.33,1.3,1.03564,1.30189,1.61044
trastuzumab deruxtecan,dyspnoeas,167,141.07,1.18,1.18,1.18,1.03357,1.17678,1.33264
durvalumab,dyspnoeas,302,264.62,1.14,1.14,1.14,1.03353,1.13773,1.2487
deferoxamine,dyspnoeas,93,74.76,1.24,1.24,1.23,1.03244,1.22972,1.45072
domperidone,dyspnoeas,10,4.59,2.18,2.18,1.77,1.03163,1.79223,2.89247
naxitamab,dyspnoeas,9,3.89,2.31,2.31,1.82,1.02879,1.84481,3.06087
tryptophan,dyspnoeas,8,3.19,2.51,2.51,1.89,1.02866,1.91634,3.29619
ofloxacin,dyspnoeas,233,202.71,1.15,1.15,1.14,1.02597,1.14476,1.27239
tiludronate,dyspnoeas,6,1.87,3.21,3.21,2.1,1.0244,2.12861,4.17419
decitabine,dyspnoeas,115,95.36,1.21,1.21,1.19,1.02173,1.19531,1.38754
trimetrexate,dyspnoeas,9,3.93,2.29,2.29,1.8,1.02105,1.83048,3.03477
mitomycin,dyspnoeas,103,84.65,1.22,1.22,1.2,1.02037,1.20459,1.4098
liothyronine,dyspnoeas,103,84.69,1.22,1.22,1.2,1.0199,1.20405,1.40916
sildenafil,dyspnoeas,2190,2072.5,1.06,1.06,1.06,1.01961,1.0563,1.09386
oxandrolone,dyspnoeas,12,6.15,1.95,1.95,1.66,1.01905,1.68306,2.60322
prochlorperazine,dyspnoeas,111,92.01,1.21,1.21,1.19,1.01884,1.19533,1.39116
piperacillin/tazobactam,dyspnoeas,143,121.6,1.18,1.18,1.17,1.01492,1.16791,1.33558
eribulin,dyspnoeas,142,120.7,1.18,1.18,1.17,1.01473,1.16829,1.33663
sunitinib,dyspnoeas,1748,1655.72,1.06,1.06,1.06,1.01428,1.05524,1.09729
cefazolin,dyspnoeas,206,180.67,1.14,1.14,1.13,1.01009,1.13504,1.26989
abacavir,dyspnoeas,361,327.42,1.1,1.1,1.1,1.00745,1.09985,1.19773
hetastarch,dyspnoeas,28,19.2,1.46,1.46,1.38,1.00691,1.39171,1.86487
FSH,dyspnoeas,45,33.88,1.33,1.33,1.29,1.00442,1.29432,1.63553
streptokinase,dyspnoeas,120,101.98,1.18,1.18,1.17,1.00102,1.16714,1.35071
ranolazine,dyspnoeas,358,327.65,1.09,1.09,1.09,0.99801,1.08995,1.18737
cromolyn,dyspnoeas,184,162.72,1.13,1.13,1.12,0.9944,1.12513,1.26685
flecainide,dyspnoeas,155,135.73,1.14,1.14,1.13,0.99194,1.13504,1.29131
methylprednisolone,dyspnoeas,1057,1012.13,1.04,1.04,1.04,0.99164,1.04354,1.09721
hydralazine,dyspnoeas,157,137.95,1.14,1.14,1.13,0.98954,1.13132,1.28604
imatinib,dyspnoeas,2188,2135.61,1.02,1.02,1.02,0.98858,1.02416,1.0606
abobotulinumtoxin a,dyspnoeas,277,253.32,1.09,1.09,1.09,0.98595,1.09002,1.20117
grepafloxacin,dyspnoeas,15,8.8,1.7,1.7,1.52,0.98379,1.53755,2.27412
itraconazole,dyspnoeas,381,355.61,1.07,1.07,1.07,0.98153,1.06902,1.16157
diltiazem,dyspnoeas,917,884.3,1.04,1.04,1.04,0.98084,1.03608,1.09336
calcium carbonate,dyspnoeas,24,16.35,1.47,1.47,1.38,0.97868,1.38926,1.90254
triamterene,dyspnoeas,66,53.97,1.22,1.22,1.2,0.97744,1.20388,1.46294
mannitol,dyspnoeas,56,44.93,1.25,1.25,1.22,0.97479,1.22278,1.50976
moxetumomab pasudotox,dyspnoeas,6,2.02,2.96,2.96,1.98,0.97288,2.01051,3.85326
talc,dyspnoeas,7,2.73,2.57,2.57,1.86,0.97199,1.89206,3.37825
vericiguat,dyspnoeas,27,19.08,1.42,1.42,1.34,0.97136,1.35072,1.81885
irbesartan,dyspnoeas,379,357.6,1.06,1.06,1.06,0.97077,1.05754,1.14934
tamsulosin,dyspnoeas,569,546.13,1.04,1.04,1.04,0.97035,1.04041,1.11376
belimumab,dyspnoeas,660,637.24,1.04,1.04,1.03,0.96968,1.03447,1.10208
tuberculin,dyspnoeas,180,163.3,1.1,1.1,1.1,0.96807,1.09685,1.2366
levofloxacin,dyspnoeas,1683,1669.54,1.01,1.01,1.01,0.96776,1.00761,1.04854
vindesine,dyspnoeas,17,10.63,1.6,1.6,1.46,0.96678,1.46915,2.12483
mitoxantrone,dyspnoeas,124,109.53,1.13,1.13,1.12,0.96624,1.12372,1.29746
methyl cellulose,dyspnoeas,16,9.81,1.63,1.63,1.47,0.96581,1.48733,2.17391
bortezomib,dyspnoeas,1047,1031.6,1.01,1.01,1.01,0.96352,1.01419,1.0666
lymphocyte,dyspnoeas,57,46.41,1.23,1.23,1.2,0.96326,1.20585,1.48621
sutimlimab,dyspnoeas,7,2.76,2.53,2.53,1.84,0.96244,1.87248,3.33666
vinblastine,dyspnoeas,47,37.26,1.26,1.26,1.23,0.96191,1.2326,1.55005
indium in 111 oxyquinoline,dyspnoeas,42,32.82,1.28,1.28,1.24,0.95845,1.24639,1.58718
clofarabine,dyspnoeas,147,132.93,1.11,1.11,1.1,0.95706,1.09918,1.25473
brentuximab vedotin,dyspnoeas,238,222.52,1.07,1.07,1.07,0.95631,1.06578,1.1833
anastrozole,dyspnoeas,585,572.57,1.02,1.02,1.02,0.95257,1.02036,1.09129
dostarlimab,dyspnoeas,19,12.54,1.52,1.52,1.4,0.95057,1.41111,2.00309
anagrelide,dyspnoeas,82,71.14,1.15,1.15,1.14,0.94562,1.13946,1.35817
dolasetron,dyspnoeas,18,11.76,1.53,1.53,1.41,0.9451,1.41871,2.03175
magnesium oxide,dyspnoeas,142,130.52,1.09,1.09,1.08,0.93926,1.08139,1.2372
rosuvastatin,dyspnoeas,1427,1455.04,0.98,0.98,0.98,0.93819,0.98024,1.02353
erlotinib,dyspnoeas,1517,1549.11,0.98,0.98,0.98,0.93806,0.97882,1.02072
augmentin,dyspnoeas,445,437.96,1.02,1.02,1.01,0.93734,1.01432,1.09541
elexacaftor/tezacaftor/ivacaftor,dyspnoeas,258,247.72,1.04,1.04,1.04,0.9357,1.03829,1.14811
hyaluronidase,dyspnoeas,74,64.25,1.15,1.15,1.13,0.93433,1.13723,1.3676
polyethylene glycol,dyspnoeas,76,66.19,1.15,1.15,1.13,0.93422,1.13406,1.3606
ibalizumab,dyspnoeas,18,11.91,1.51,1.51,1.39,0.93402,1.40203,2.00767
patisiran,dyspnoeas,82,72.19,1.14,1.14,1.12,0.93211,1.12319,1.33877
nateglinide,dyspnoeas,43,34.85,1.23,1.23,1.2,0.92905,1.20434,1.52948
verapamil,dyspnoeas,615,618.47,0.99,0.99,0.99,0.9288,0.99319,1.06049
tapentadol,dyspnoeas,205,195.81,1.05,1.05,1.04,0.92774,1.0428,1.167
doxazosin mesylate,dyspnoeas,376,371.26,1.01,1.01,1.01,0.92746,1.01071,1.0988
citric acid,dyspnoeas,7,2.92,2.4,2.4,1.77,0.92621,1.79873,3.18344
delavirdine,dyspnoeas,9,4.48,2.01,2.01,1.63,0.92431,1.65294,2.71888
cobimetinib,dyspnoeas,71,62.03,1.14,1.14,1.13,0.92427,1.12972,1.36362
fingolimod,dyspnoeas,2959,3109.35,0.95,0.95,0.95,0.92295,0.95143,0.98049
bismuth,dyspnoeas,37,29.44,1.26,1.26,1.22,0.92263,1.22116,1.57834
ampicillin/sulbactam,dyspnoeas,92,82.86,1.11,1.11,1.1,0.92235,1.09965,1.29835
zileuton,dyspnoeas,23,16.55,1.39,1.39,1.31,0.92161,1.3183,1.81628
cefadroxil,dyspnoeas,63,54.43,1.16,1.16,1.14,0.92101,1.14007,1.39145
levocarnitine,dyspnoeas,15,9.5,1.58,1.58,1.42,0.9203,1.43776,2.12456
disopyramide,dyspnoeas,75,66.31,1.13,1.13,1.11,0.91923,1.11733,1.34209
diclofenac,dyspnoeas,2328,2453.92,0.95,0.95,0.95,0.91645,0.94841,0.98111
acetaminophen/codeine,dyspnoeas,39,31.54,1.24,1.24,1.2,0.91643,1.20391,1.54628
pegenzileukin,dyspnoeas,45,37.34,1.21,1.21,1.17,0.91457,1.17848,1.48902
gadofosveset,dyspnoeas,5,1.52,3.29,3.29,2.01,0.91433,2.03502,4.26824
edaravone,dyspnoeas,104,95.9,1.08,1.08,1.07,0.91182,1.07556,1.25784
fosfomycin,dyspnoeas,21,14.95,1.4,1.4,1.31,0.91039,1.32474,1.85043
decongestant,dyspnoeas,19,13.24,1.44,1.44,1.33,0.90501,1.34327,1.90618
clonazepam,dyspnoeas,782,814.79,0.96,0.96,0.96,0.90363,0.95891,1.01639
interferon alfa-2b,dyspnoeas,458,468.22,0.98,0.98,0.98,0.90356,0.97666,1.05359
ledipasvir,dyspnoeas,137,130.63,1.05,1.05,1.04,0.9032,1.04257,1.19561
sofosbuvir,dyspnoeas,536,554.31,0.97,0.97,0.97,0.89877,0.96572,1.03592
cyclophosphamide,dyspnoeas,924,973.77,0.95,0.95,0.95,0.89783,0.9482,1.00041
recombinant,dyspnoeas,565,587.05,0.96,0.96,0.96,0.8963,0.96126,1.02928
idelalisib,dyspnoeas,190,188.18,1.01,1.01,1,0.89059,1.00565,1.13024
naproxen,dyspnoeas,2512,2730.22,0.92,0.92,0.92,0.88999,0.91984,0.95036
enfurvitide,dyspnoeas,54,47.43,1.14,1.14,1.12,0.8886,1.11939,1.38715
dexamethasone,dyspnoeas,1240,1333.05,0.93,0.93,0.93,0.88697,0.92972,0.97381
tinidazole,dyspnoeas,6,2.34,2.57,2.57,1.79,0.8861,1.81845,3.38434
trimethoprim,dyspnoeas,351,362.62,0.97,0.97,0.97,0.88377,0.96603,1.05326
eteplirsen,dyspnoeas,31,24.96,1.24,1.24,1.19,0.88353,1.20099,1.58707
piperacillin,dyspnoeas,214,215.36,0.99,0.99,0.99,0.88325,0.99029,1.10564
thallium,dyspnoeas,13,8.22,1.58,1.58,1.41,0.87986,1.42196,2.15662
antivenin,dyspnoeas,37,30.95,1.2,1.2,1.16,0.87933,1.16383,1.50416
nalbuphine,dyspnoeas,37,31.07,1.19,1.19,1.15,0.87617,1.15964,1.49874
tazobactam,dyspnoeas,151,149.79,1.01,1.01,1,0.87502,1.00307,1.14305
iodine,dyspnoeas,64,58.48,1.09,1.09,1.08,0.87373,1.07968,1.31575
icatibant,dyspnoeas,152,151.39,1,1,1,0.87199,0.99914,1.13809
amlodipine/perindopril,dyspnoeas,11,6.54,1.68,1.68,1.45,0.87175,1.47089,2.30628
ivacaftor,dyspnoeas,104,100.5,1.03,1.03,1.03,0.87072,1.02707,1.20113
guaifenesin,dyspnoeas,508,541.61,0.94,0.94,0.94,0.87007,0.93673,1.00671
tazemetostat,dyspnoeas,42,36.33,1.16,1.16,1.13,0.86944,1.13058,1.43959
nizatidine,dyspnoeas,151,150.8,1,1,1,0.86921,0.9964,1.13544
ezetimibe,dyspnoeas,492,526.47,0.93,0.93,0.93,0.86584,0.9333,1.00418
epoetin alfa,dyspnoeas,514,551.11,0.93,0.93,0.93,0.86557,0.93148,1.00065
quinapril,dyspnoeas,166,167.66,0.99,0.99,0.98,0.86547,0.98576,1.11673
labetalol,dyspnoeas,99,95.82,1.03,1.03,1.02,0.86532,1.025,1.20324
avalglucosidase alfa,dyspnoeas,4,0.97,4.11,4.11,2.15,0.8646,2.14823,5.46162
olutasidenib,dyspnoeas,4,0.97,4.11,4.11,2.15,0.8646,2.14823,5.46162
belzutifan,dyspnoeas,11,6.62,1.66,1.66,1.44,0.86324,1.45641,2.28306
flutamide,dyspnoeas,104,101.39,1.03,1.03,1.02,0.86314,1.01812,1.19066
aminophylline,dyspnoeas,26,20.71,1.26,1.26,1.2,0.86142,1.20541,1.63126
